1991-301-m035-e061,2:18:00,138,9,3,67,110,43,67,20,43,8,13,63,110,21,61,21,47,3,8,14,14,42,108,105,218,3,4,61,108,40,61,26,47,5,8,66,108,24,67,23,43,5,13,14,14,47,110,113,218
1991-301-c009-c252,0:56:00,56,5,1,26,47,23,26,12,21,2,3,35,47,17,32,4,10,4,5,9,8,21,42,56,89,0,0,32,42,15,32,6,10,1,5,21,42,3,26,9,21,1,3,8,9,12,47,33,89
1991-301-f031-j008,1:03:00,63,0,1,20,43,15,20,16,23,1,2,31,43,26,51,7,9,5,9,8,8,33,60,64,103,0,4,51,60,25,51,2,9,4,9,27,60,5,20,7,23,1,2,8,8,12,43,39,103
1991-301-j008-b051,1:48:00,108,0,1,55,82,35,55,14,27,6,10,49,82,23,61,20,35,4,12,13,13,43,96,92,178,3,2,61,96,38,61,15,35,8,12,53,96,20,55,13,27,4,10,13,13,33,82,86,178
1991-301-a028-r023,1:08:00,68,2,4,36,57,28,36,9,21,0,0,37,57,12,23,13,22,5,7,7,8,25,45,62,102,2,3,23,45,11,23,9,22,2,7,20,45,8,36,12,21,0,0,8,7,20,57,40,102
1991-301-c031-r193,1:08:00,68,0,0,0,59,23,36,16,23,1,2,39,59,12,29,16,28,4,10,9,8,28,57,67,116,0,6,29,57,17,29,12,28,6,10,29,57,13,36,7,23,1,2,8,9,20,59,49,116
1991-301-b040-s015,0:52:00,52,5,0,0,46,26,37,7,9,0,0,33,46,8,21,13,17,4,6,8,7,21,38,54,84,0,0,21,38,13,21,4,17,2,6,17,38,11,37,2,9,0,0,7,8,13,46,30,84
1991-301-c046-p004,1:54:00,114,5,2,55,93,40,55,18,38,4,7,58,93,18,53,15,35,2,5,15,14,33,88,91,181,2,0,53,88,35,53,20,35,3,5,55,88,15,55,20,38,3,7,14,15,35,93,90,181
1991-301-j084-s367,1:31:00,91,3,2,48,84,36,48,19,36,7,8,55,84,15,51,19,34,3,10,13,13,34,85,89,169,10,5,51,85,36,51,15,34,7,10,51,85,12,48,17,36,1,8,13,13,29,84,80,169
1991-301-v002-w011,0:55:00,55,1,1,20,38,18,20,14,18,0,0,32,38,15,29,12,25,4,9,8,8,27,54,59,92,5,5,29,54,14,29,13,25,5,9,27,54,2,20,4,18,0,0,8,8,6,38,33,92
1991-301-w124-g055,1:12:00,72,5,1,25,56,17,25,20,31,1,2,37,56,8,30,20,26,4,11,9,8,28,56,65,112,4,7,30,56,22,30,6,26,7,11,28,56,8,25,11,31,1,2,8,9,19,56,47,112
1991-301-y017-e025,1:26:00,86,0,0,0,78,41,62,10,16,0,0,51,78,11,33,13,29,2,4,10,10,24,62,75,140,1,4,33,62,22,33,16,29,2,4,38,62,21,62,6,16,0,0,10,10,27,78,65,140
1991-301-k030-k024,1:12:00,72,4,2,19,48,17,19,18,29,1,2,35,48,16,36,8,19,4,6,9,9,24,55,59,103,0,3,36,55,20,36,11,19,2,6,31,55,2,19,11,29,1,2,9,9,13,48,44,103
1991-301-f031-s321,1:41:00,101,2,4,55,80,35,55,16,25,2,4,51,80,19,43,11,25,4,8,12,11,30,68,81,148,1,3,43,68,24,43,14,25,4,8,38,68,20,55,9,25,2,4,11,12,29,80,67,148
1991-301-s014-w124,2:17:00,137,8,4,88,130,64,88,15,42,3,5,79,130,12,47,12,40,2,3,15,16,24,87,103,217,7,4,47,87,35,47,28,40,1,3,63,87,24,88,27,42,2,5,16,15,51,130,114,217
1991-301-n025-c046,1:17:00,77,7,0,0,52,29,34,10,18,4,5,39,52,13,41,18,31,3,6,10,10,31,72,70,124,7,1,41,72,28,41,13,31,3,6,41,72,5,34,8,18,1,5,10,10,13,52,54,124
1991-338-f035-s351,1:13:00,73,7,1,28,52,23,28,18,24,0,0,41,52,9,35,17,27,2,8,10,9,26,62,67,114,5,7,35,62,26,35,10,27,6,8,36,62,5,28,6,24,0,0,9,10,11,52,47,114
1991-338-s424-k023,2:10:00,130,1,3,39,79,30,39,23,40,1,3,53,79,25,68,16,40,2,11,14,14,41,108,94,187,3,1,68,108,43,68,24,40,9,11,67,108,9,39,17,40,2,3,14,14,26,79,93,187
1991-338-s351-h025,1:55:00,115,12,4,55,97,48,55,19,42,6,8,67,97,13,52,21,51,2,6,15,16,34,103,101,200,1,3,52,103,39,52,30,51,4,6,69,103,7,55,23,42,2,8,16,15,30,97,99,200
