2017-451,Round of 32,5,11,Arthur De Greef,d981,arthur-de-greef,Mohamed Safwat,sk47,mohamed-safwat,WC,Q,67(8) 75 64,2,1,19,16,0,1,2017-451-d981-sk47,/en/scores/2017/451/MS029/match-stats?isLive=False
2017-451,Round of 32,5,12,Karen Khachanov,ke29,karen-khachanov,Mubarak Shannan Zayid,ac39,mubarak-shannan-zayid,,WC,61 63,2,0,12,4,0,0,2017-451-ke29-ac39,/en/scores/2017/451/MS025/match-stats?isLive=False
2017-451,Round of 32,5,13,Gerald Melzer,mi43,gerald-melzer,Paul-Henri Mathieu,m850,paul-henri-mathieu,,,67(2) 63 62,2,1,18,12,0,1,2017-451-mi43-m850,/en/scores/2017/451/MS017/match-stats?isLive=False
2017-451,Round of 32,5,14,Fernando Verdasco,v306,fernando-verdasco,Vasek Pospisil,pd07,vasek-pospisil,,Q,75 60,2,0,13,5,0,0,2017-451-v306-pd07,/en/scores/2017/451/MS026/match-stats?isLive=False
2017-451,Round of 32,5,15,Jiri Vesely,v708,jiri-vesely,Anil Yuksel,y152,anil-yuksel,,WC,62 63,2,0,12,5,0,0,2017-451-v708-y152,/en/scores/2017/451/MS021/match-stats?isLive=False
2017-451,Round of 32,5,16,Horacio Zeballos,z184,horacio-zeballos,Florian Mayer,mb02,florian-mayer,,,67(3) 64 76(9),2,1,19,17,1,1,2017-451-z184-mb02,/en/scores/2017/451/MS030/match-stats?isLive=False
2017-451,2nd Round Qualifying,6,1,Vasek Pospisil,pd07,vasek-pospisil,Nikoloz Basilashvili,bg23,nikoloz-basilashvili,8,1,62 61,2,0,12,3,0,0,2017-451-pd07-bg23,/en/scores/2017/451/QS004/match-stats?isLive=False
2017-451,2nd Round Qualifying,6,2,Radek Stepanek,s694,radek-stepanek,Enrique Lopez Perez,la93,enrique-lopez-perez,2,,61 64,2,0,12,5,0,0,2017-451-s694-la93,/en/scores/2017/451/QS005/match-stats?isLive=False
2017-451,2nd Round Qualifying,6,3,Alessandro Giannessi,g983,alessandro-giannessi,Mirza Basic,be67,mirza-basic,7,,64 62,2,0,12,6,0,0,2017-451-g983-be67,/en/scores/2017/451/QS006/match-stats?isLive=False
2017-451,2nd Round Qualifying,6,4,Mohamed Safwat,sk47,mohamed-safwat,Vincent Millot,me31,vincent-millot,,,63 06 62,2,1,12,11,0,0,2017-451-sk47-me31,/en/scores/2017/451/QS007/match-stats?isLive=False
2017-451,1st Round Qualifying,7,1,Nikoloz Basilashvili,bg23,nikoloz-basilashvili,Luca Vanni,v495,luca-vanni,1,,61 75,2,0,13,6,0,0,2017-451-bg23-v495,/en/scores/2017/451/QS008/match-stats?isLive=False
2017-451,1st Round Qualifying,7,2,Radek Stepanek,s694,radek-stepanek,Lorenzo Giustino,ga79,lorenzo-giustino,2,,57 75 64,2,1,18,16,0,0,2017-451-s694-ga79,/en/scores/2017/451/QS010/match-stats?isLive=False
2017-451,1st Round Qualifying,7,3,Mirza Basic,be67,mirza-basic,Marco Chiudinelli,c582,marco-chiudinelli,,3,64 06 61,2,1,12,11,0,0,2017-451-be67-c582,/en/scores/2017/451/QS012/match-stats?isLive=False
2017-451,1st Round Qualifying,7,4,Vincent Millot,me31,vincent-millot,Thomas Fabbiano,f586,thomas-fabbiano,,4,67(3) 63 61,2,1,18,11,0,1,2017-451-me31-f586,/en/scores/2017/451/QS014/match-stats?isLive=False
2017-451,1st Round Qualifying,7,5,Enrique Lopez Perez,la93,enrique-lopez-perez,Evgeny Donskoy,d864,evgeny-donskoy,,5,64 64,2,0,12,8,0,0,2017-451-la93-d864,/en/scores/2017/451/QS011/match-stats?isLive=False
2017-451,1st Round Qualifying,7,6,Mohamed Safwat,sk47,mohamed-safwat,Taro Daniel,da81,taro-daniel,,6,76(1) 62,2,0,13,8,1,0,2017-451-sk47-da81,/en/scores/2017/451/QS015/match-stats?isLive=False
2017-451,1st Round Qualifying,7,7,Alessandro Giannessi,g983,alessandro-giannessi,Mousa Shanan Zayed,z367,mousa-shanan-zayed,7,WC,62 61,2,0,12,3,0,0,2017-451-g983-z367,/en/scores/2017/451/QS013/match-stats?isLive=False
